transaction_id,customer_id,card_id,transaction_type,transaction_date_time,transaction_amount,currency,mcc,description,account_type,account_balance,card_type,card_number_masked,card_expiration_date,card_issuer,cardholder_name,merchant_id,merchant_name,merchant_location,merchant_terminal_id,payment_method,payment_channel,geolocation,authorization_code,authentication_method,3d_secure_status,fraud_risk_score,transaction_status,failure_reason,exchange_rate,rewards_earned,ip_address,device_id,user_agent,session_id,referral_source,companies_directed,kyc_address,kyc_aml_risk_score,kyc_annual_income_range,kyc_closed_false_positive_alerts,kyc_customer_since,kyc_date_of_birth,kyc_email,kyc_employer_name,kyc_frequent_connection_country,kyc_full_name,kyc_id_expiration_date,kyc_id_issuing_country,kyc_id_type,kyc_id_number,kyc_occupation,kyc_nationality,kyc_phone_number,kyc_pep_status,kyc_source_of_funds,sender_name,sender_account_number,sender_bank,sender_location,source
fa74474b-1472-4da8-afdb-7a1f20db8726,f8825a99-0a60-4a21-af05-b479436559be,9cad0d2f-1ac9-4e72-9602-432f962f93c7,outbound,2024-10-27 12:50:06,140607.64,GBP,8999,Business Transfer,business,16649.04,MasterCard,**** **** **** 5654,05/30,Barclays,Dawn Thomas,439365c4-842b-4d1d-86ee-25db438c3c08,"Yates, Reese and Clayton","{'city': 'New Paula', 'state': 'WA', 'country': 'Mexico'}",T2318,wire_transfer,online,"{'latitude': Decimal('35.606594'), 'longitude': Decimal('-177.815525')}",422072,password,,41,approved,,,0,51.123.37.134,abdb8595-624e-42fe-b919-ca60c0fdf5dc,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/5.0),03b9966e-244f-487f-99e8-57302a06ae9b,direct,"Sampson, Wallace and Wright (Mexico), Yates, Reese and Clayton (Mexico), Smith and Sons (Singapore), Mccarthy, Ray and Chavez (Australia), Rodriguez, Hernandez and Mueller (Australia)","PSC 0568, Box 3944
APO AA 69937",5,>250k,2,2010-11-17,1964-07-07,rwebb@example.net,,Mexico,Dawn Thomas,2027-04-13,UK,Passport,da0acd7e,Company Director,UK,001-278-818-2626,False,Salary,,,,,
3921cee0-a316-4cfd-94b1-1a6ba38c0392,f8825a99-0a60-4a21-af05-b479436559be,9cad0d2f-1ac9-4e72-9602-432f962f93c7,outbound,2024-11-03 17:20:23,145919.12,GBP,6012,Business Transfer,business,47016.58,MasterCard,**** **** **** 1057,12/28,Barclays,Dawn Thomas,51d6111e-01f9-46c5-b1d7-a86416eb0cff,"Sampson, Wallace and Wright","{'city': 'South Doris', 'state': 'MI', 'country': 'Mexico'}",T3044,wire_transfer,online,"{'latitude': Decimal('-38.0688875'), 'longitude': Decimal('-118.118139')}",459666,password,,79,approved,,,0,20.148.70.185,abc32035-d369-48a3-94a9-0faadcffa48b,Opera/9.89.(Windows 98; Win 9x 4.90; szl-PL) Presto/2.9.181 Version/12.00,de76d310-d583-4351-85ee-f3713dec8928,business partner,"Sampson, Wallace and Wright (Mexico), Yates, Reese and Clayton (Mexico), Smith and Sons (Singapore), Mccarthy, Ray and Chavez (Australia), Rodriguez, Hernandez and Mueller (Australia)","PSC 0568, Box 3944
APO AA 69937",5,>250k,5,2006-11-18,1964-07-07,rwebb@example.net,,Mexico,Dawn Thomas,2027-04-13,UK,Passport,da0acd7e,Company Director,UK,001-278-818-2626,False,Salary,,,,,
36fdbe9d-74e5-4736-a15a-005c36170843,f8825a99-0a60-4a21-af05-b479436559be,9cad0d2f-1ac9-4e72-9602-432f962f93c7,outbound,2024-11-04 15:41:45,153587.15,GBP,4829,Business Transfer,business,24717.04,MasterCard,**** **** **** 6754,04/34,Barclays,Dawn Thomas,4f671e4a-e147-4776-9a9e-538f991a8b5f,"Mccarthy, Ray and Chavez","{'city': 'South Andrea', 'state': 'OK', 'country': 'Australia'}",T8690,wire_transfer,online,"{'latitude': Decimal('-28.4406345'), 'longitude': Decimal('52.817826')}",755383,password,,70,approved,,,0,112.160.95.46,38df0433-e54c-42ac-913d-fb4cf36bbf4c,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/5.1),24a0e637-67c8-4a6e-8cbf-c7d44d2e41bc,business partner,"Sampson, Wallace and Wright (Mexico), Yates, Reese and Clayton (Mexico), Smith and Sons (Singapore), Mccarthy, Ray and Chavez (Australia), Rodriguez, Hernandez and Mueller (Australia)","PSC 0568, Box 3944
APO AA 69937",5,>250k,4,2020-11-14,1964-07-07,rwebb@example.net,,Mexico,Dawn Thomas,2027-04-13,UK,Passport,da0acd7e,Company Director,UK,001-278-818-2626,False,Salary,,,,,
6f86707c-d079-4e3a-baa3-e99761c00973,f8825a99-0a60-4a21-af05-b479436559be,9cad0d2f-1ac9-4e72-9602-432f962f93c7,outbound,2024-10-28 13:06:34,110193.0,GBP,4829,Business Transfer,business,26641.18,MasterCard,**** **** **** 2713,09/29,Barclays,Dawn Thomas,23885497-6276-42c1-9701-59aab4b1a63e,"Yates, Reese and Clayton","{'city': 'Port Maria', 'state': 'NH', 'country': 'Mexico'}",T6904,wire_transfer,online,"{'latitude': Decimal('-70.9898075'), 'longitude': Decimal('103.141066')}",994290,password,,33,approved,,,0,123.166.149.97,86cee6b9-f585-4c90-9025-3db2641689b5,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_7 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) FxiOS/10.6e6639.0 Mobile/13J323 Safari/535.2",be79afd5-de7c-420d-bd57-e6508560dc98,business partner,"Sampson, Wallace and Wright (Mexico), Yates, Reese and Clayton (Mexico), Smith and Sons (Singapore), Mccarthy, Ray and Chavez (Australia), Rodriguez, Hernandez and Mueller (Australia)","PSC 0568, Box 3944
APO AA 69937",5,>250k,0,2023-11-14,1964-07-07,rwebb@example.net,,Mexico,Dawn Thomas,2027-04-13,UK,Passport,da0acd7e,Company Director,UK,001-278-818-2626,False,Salary,,,,,
cfbae24c-e215-47be-ba0b-d94f7261cce8,f8825a99-0a60-4a21-af05-b479436559be,9cad0d2f-1ac9-4e72-9602-432f962f93c7,outbound,2024-11-02 08:54:21,122065.2,GBP,6012,Business Transfer,business,46444.65,MasterCard,**** **** **** 1924,12/27,Barclays,Dawn Thomas,6305e4a7-be72-470d-8f63-3dbe48e16f52,"Rodriguez, Hernandez and Mueller","{'city': 'West Craig', 'state': 'AS', 'country': 'Australia'}",T7725,wire_transfer,online,"{'latitude': Decimal('71.9513025'), 'longitude': Decimal('60.023728')}",806910,password,,65,approved,,,0,98.128.14.245,c200b962-b086-4fd5-83dc-862972c75280,"Mozilla/5.0 (Linux; Android 12.1) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/50.0.886.0 Safari/535.0",b7464ded-b8d2-4739-826c-a848617270ee,business partner,"Sampson, Wallace and Wright (Mexico), Yates, Reese and Clayton (Mexico), Smith and Sons (Singapore), Mccarthy, Ray and Chavez (Australia), Rodriguez, Hernandez and Mueller (Australia)","PSC 0568, Box 3944
APO AA 69937",5,>250k,4,2019-11-15,1964-07-07,rwebb@example.net,,Mexico,Dawn Thomas,2027-04-13,UK,Passport,da0acd7e,Company Director,UK,001-278-818-2626,False,Salary,,,,,
0eaafd53-f290-4d8e-957c-4cf9cf1262d2,f8825a99-0a60-4a21-af05-b479436559be,9cad0d2f-1ac9-4e72-9602-432f962f93c7,outbound,2024-10-23 03:45:27,126604.34,GBP,4829,Business Transfer,business,15579.47,MasterCard,**** **** **** 7018,03/26,Barclays,Dawn Thomas,77d53c42-6d9f-423b-856e-bacdbda528bd,"Mccarthy, Ray and Chavez","{'city': 'East Crystal', 'state': 'MN', 'country': 'Australia'}",T9720,wire_transfer,online,"{'latitude': Decimal('82.7548305'), 'longitude': Decimal('66.448695')}",707344,password,,51,approved,,,0,3.3.57.2,06eb9b13-26bb-43ca-9344-4bb90fb3571b,Opera/9.70.(Windows 95; mag-IN) Presto/2.9.161 Version/11.00,c781ca84-1b6e-4b58-be02-71791481eff5,direct,"Sampson, Wallace and Wright (Mexico), Yates, Reese and Clayton (Mexico), Smith and Sons (Singapore), Mccarthy, Ray and Chavez (Australia), Rodriguez, Hernandez and Mueller (Australia)","PSC 0568, Box 3944
APO AA 69937",5,>250k,5,2022-11-14,1964-07-07,rwebb@example.net,,Mexico,Dawn Thomas,2027-04-13,UK,Passport,da0acd7e,Company Director,UK,001-278-818-2626,False,Salary,,,,,
f9986985-47ac-46f5-afab-cd9310908b88,f8825a99-0a60-4a21-af05-b479436559be,0a7247ab-3394-4449-8022-095e47f1a823,outbound,2024-10-31 03:44:27,165777.27,GBP,6012,Business Transfer,business,6003.78,MasterCard,**** **** **** 7445,12/27,NatWest,Dawn Thomas,90c9549d-75e8-4b4f-b81b-cce657bbc598,"Mccarthy, Ray and Chavez","{'city': 'New Monica', 'state': 'ND', 'country': 'Australia'}",T2960,wire_transfer,online,"{'latitude': Decimal('-83.3071795'), 'longitude': Decimal('-54.897747')}",859324,password,,74,approved,,,0,155.34.53.159,31e6266c-8f1d-4f06-9bce-5241996b629e,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/3.0),bd6acd61-af37-4a1b-9831-a7eff6135c64,business partner,"Sampson, Wallace and Wright (Mexico), Yates, Reese and Clayton (Mexico), Smith and Sons (Singapore), Mccarthy, Ray and Chavez (Australia), Rodriguez, Hernandez and Mueller (Australia)","PSC 0568, Box 3944
APO AA 69937",5,>250k,0,2014-11-16,1964-07-07,rwebb@example.net,,Mexico,Dawn Thomas,2027-04-13,UK,Passport,da0acd7e,Company Director,UK,001-278-818-2626,False,Salary,,,,,
47dc6abd-e35d-4d6d-8b20-ed9721fc8c40,f8825a99-0a60-4a21-af05-b479436559be,9cad0d2f-1ac9-4e72-9602-432f962f93c7,outbound,2024-11-13 09:43:10,191718.77,GBP,6012,Business Transfer,business,32439.8,MasterCard,**** **** **** 8050,01/30,Barclays,Dawn Thomas,c2136eb0-1c91-4683-8338-e99b588d1a8a,"Rodriguez, Hernandez and Mueller","{'city': 'Janetmouth', 'state': 'NV', 'country': 'Australia'}",T8245,wire_transfer,online,"{'latitude': Decimal('83.6210525'), 'longitude': Decimal('48.833767')}",115839,password,,70,approved,,,0,157.84.173.172,6583487a-3ecd-45ca-86d5-9a459f2c48ed,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/4.0),0d85d333-7672-4e94-9d01-88ecd1815327,direct,"Sampson, Wallace and Wright (Mexico), Yates, Reese and Clayton (Mexico), Smith and Sons (Singapore), Mccarthy, Ray and Chavez (Australia), Rodriguez, Hernandez and Mueller (Australia)","PSC 0568, Box 3944
APO AA 69937",5,>250k,4,2021-11-14,1964-07-07,rwebb@example.net,,Mexico,Dawn Thomas,2027-04-13,UK,Passport,da0acd7e,Company Director,UK,001-278-818-2626,False,Salary,,,,,
621ad1da-8389-474c-b7b4-5b4c12f9fbdc,f8825a99-0a60-4a21-af05-b479436559be,0a7247ab-3394-4449-8022-095e47f1a823,outbound,2024-10-30 03:08:19,113849.04,GBP,6012,Business Transfer,business,33775.39,MasterCard,**** **** **** 2122,03/32,NatWest,Dawn Thomas,d69e3ab4-de8b-4983-a1c3-36c946bfdc6d,"Sampson, Wallace and Wright","{'city': 'Christopherland', 'state': 'WA', 'country': 'Mexico'}",T9616,wire_transfer,online,"{'latitude': Decimal('-15.932261'), 'longitude': Decimal('164.030469')}",201825,password,,35,approved,,,0,25.213.22.107,947cb1c3-1b92-4222-b201-b0c51db9b151,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/3.1),ac1f7f7c-b1d8-4281-aeb0-afcecb667afc,business partner,"Sampson, Wallace and Wright (Mexico), Yates, Reese and Clayton (Mexico), Smith and Sons (Singapore), Mccarthy, Ray and Chavez (Australia), Rodriguez, Hernandez and Mueller (Australia)","PSC 0568, Box 3944
APO AA 69937",5,>250k,4,2021-11-14,1964-07-07,rwebb@example.net,,Mexico,Dawn Thomas,2027-04-13,UK,Passport,da0acd7e,Company Director,UK,001-278-818-2626,False,Salary,,,,,
def61c1f-2adb-479c-9b06-cb9fe074e20d,f8825a99-0a60-4a21-af05-b479436559be,0a7247ab-3394-4449-8022-095e47f1a823,outbound,2024-11-09 11:10:03,138580.35,GBP,4829,Business Transfer,business,35501.26,MasterCard,**** **** **** 7226,01/27,NatWest,Dawn Thomas,6c7c8c00-7191-460b-9fb4-579efab0a177,Smith and Sons,"{'city': 'Nguyenshire', 'state': 'NM', 'country': 'Singapore'}",T8821,wire_transfer,online,"{'latitude': Decimal('83.5627215'), 'longitude': Decimal('-149.355616')}",276498,password,,45,approved,,,0,206.60.251.62,2f3e6216-0b0f-4edd-ac85-d6b710523233,Opera/8.83.(X11; Linux i686; ta-IN) Presto/2.9.188 Version/12.00,93d15f3a-d8fa-4a0e-b222-27a157979bf8,direct,"Sampson, Wallace and Wright (Mexico), Yates, Reese and Clayton (Mexico), Smith and Sons (Singapore), Mccarthy, Ray and Chavez (Australia), Rodriguez, Hernandez and Mueller (Australia)","PSC 0568, Box 3944
APO AA 69937",5,>250k,5,2012-11-16,1964-07-07,rwebb@example.net,,Mexico,Dawn Thomas,2027-04-13,UK,Passport,da0acd7e,Company Director,UK,001-278-818-2626,False,Salary,,,,,
