transaction_id,customer_id,card_id,transaction_type,transaction_date_time,transaction_amount,currency,mcc,description,account_type,account_balance,card_type,card_number_masked,card_expiration_date,card_issuer,cardholder_name,merchant_id,merchant_name,merchant_location,merchant_terminal_id,payment_method,payment_channel,geolocation,authorization_code,authentication_method,3d_secure_status,fraud_risk_score,transaction_status,failure_reason,exchange_rate,rewards_earned,ip_address,device_id,user_agent,session_id,referral_source,kyc_full_name,kyc_date_of_birth,kyc_nationality,kyc_id_type,kyc_id_number,kyc_id_issuing_country,kyc_id_expiration_date,kyc_address,kyc_phone_number,kyc_email,kyc_occupation,kyc_employer_name,kyc_source_of_funds,kyc_annual_income_range,kyc_pep_status,kyc_aml_risk_score,kyc_closed_false_positive_alerts,kyc_customer_since,kyc_frequent_connection_country,companies_directed,sender_name,sender_account_number,sender_bank,sender_location,source
T1,C1,ca8541e3-c8a4-4bda-b5f0-3c519f145e13,POS,11/6/2024 10:46,490.74,GBP,5999,Gas,debit,4327.81,Visa,**** **** **** 1490,25-May,Wells Fargo,David Hill,3bc0cb86-d1f0-4da6-88e8-471eafea60a4,Herring and Sons,"{'city': 'Aaronbury', 'state': 'OR', 'country': 'UK'}",T5268,NFC,POS,"{'latitude': Decimal('5.795056'), 'longitude': Decimal('37.451516')}",989219,PIN,,11,approved,,,4,,,,e4d0b685-cdfc-4692-bbf1-35fd2acfe62e,email,David Hill,3/8/1999,UK,Passport,bb62ddfa,UK,10/6/2033,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,TRUE,85,2,11/14/2023,China,,,,,,
T2,C1,284a2b1d-bfbc-4873-bf2f-ed662847f6fd,POS,10/26/2024 8:34,351.25,GBP,5921,Grocery,debit,4959.44,Visa,**** **** **** 3206,29-Nov,Wells Fargo,David Hill,5e0e4b59-b03b-4ac9-bee0-035d82d094cf,Ray-Benson,"{'city': 'Port Davidton', 'state': 'ME', 'country': 'UK'}",T7295,NFC,POS,"{'latitude': Decimal('-38.114983'), 'longitude': Decimal('128.246797')}",360055,PIN,,7,approved,,,2,,,,c900016b-6138-4ae3-9605-05b13ad10f1c,referral,David Hill,3/8/1999,UK,Passport,bb62ddfa,UK,10/6/2033,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,TRUE,85,0,11/14/2020,China,,,,,,
T3,C1,ca8541e3-c8a4-4bda-b5f0-3c519f145e13,POS,11/12/2024 7:10,655.32,GBP,5735,Electronics,debit,3588.49,Visa,**** **** **** 8345,Apr-33,Wells Fargo,David Hill,0e845604-86b0-40bd-b347-91d9f899e7df,Henry-Lewis,"{'city': 'New Kelli', 'state': 'IN', 'country': 'UK'}",T5102,NFC,POS,"{'latitude': Decimal('-19.316753'), 'longitude': Decimal('-42.211604')}",103007,PIN,,13,approved,,,8,,,,30497209-10cf-4cfd-98a3-b677769464d5,referral,David Hill,3/8/1999,UK,Passport,bb62ddfa,UK,10/6/2033,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,TRUE,85,1,11/14/2021,China,,,,,,
T4,C1,ca8541e3-c8a4-4bda-b5f0-3c519f145e13,POS,10/16/2024 18:56,555.74,GBP,5812,Restaurant,debit,2993.65,Visa,**** **** **** 5684,25-Sep,Wells Fargo,David Hill,3dc0afe5-a8a1-4fcf-a698-a3810b16df85,Dyer-Leonard,"{'city': 'New Kristopher', 'state': 'RI', 'country': 'UK'}",T9578,NFC,POS,"{'latitude': Decimal('55.331278'), 'longitude': Decimal('-178.149582')}",486116,PIN,,9,approved,,,1,,,,92d09df9-a8e8-423c-b336-05e376e99c57,social media,David Hill,3/8/1999,UK,Passport,bb62ddfa,UK,10/6/2033,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,TRUE,85,0,11/14/2023,China,,,,,,
T5,C1,284a2b1d-bfbc-4873-bf2f-ed662847f6fd,POS,10/31/2024 1:51,282.65,GBP,5812,Restaurant,debit,2816.21,Visa,**** **** **** 7553,28-Oct,Wells Fargo,David Hill,2c10baff-5768-40e4-957b-d0c945f5cd52,Powell LLC,"{'city': 'Andradetown', 'state': 'WV', 'country': 'UK'}",T7199,chip,POS,"{'latitude': Decimal('89.5423165'), 'longitude': Decimal('167.472823')}",107794,PIN,,15,approved,,,8,,,,f58bc220-533b-4096-81ad-980157f7fcff,direct,David Hill,3/8/1999,UK,Passport,bb62ddfa,UK,10/6/2033,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,TRUE,85,1,11/14/2023,China,,,,,,
T6,C1,284a2b1d-bfbc-4873-bf2f-ed662847f6fd,POS,11/11/2024 2:53,520.4,GBP,5999,Grocery,debit,4478.59,Visa,**** **** **** 5541,29-Jan,Wells Fargo,David Hill,fb03a03e-c4d0-4edf-b2d3-374af27e1742,"Williams, Phillips and Reeves","{'city': 'Ronaldfort', 'state': 'AK', 'country': 'UK'}",T1290,NFC,POS,"{'latitude': Decimal('-26.603353'), 'longitude': Decimal('-22.749020')}",506154,PIN,,15,approved,,,3,,,,8e0d38d7-29b7-48b8-9992-6891d3659375,referral,David Hill,3/8/1999,UK,Passport,bb62ddfa,UK,10/6/2033,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,TRUE,85,0,11/14/2022,China,,,,,,
T7,C1,ca8541e3-c8a4-4bda-b5f0-3c519f145e13,POS,11/8/2024 0:00,954.35,GBP,5999,Restaurant,debit,2310.04,Visa,**** **** **** 5582,25-Oct,Wells Fargo,David Hill,1e2f5753-de94-4052-8913-e4c34d34a719,Briggs-Munoz,"{'city': 'East Michaelport', 'state': 'MP', 'country': 'UK'}",T8485,chip,POS,"{'latitude': Decimal('-32.627120'), 'longitude': Decimal('2.728738')}",666387,PIN,,0,approved,,,9,,,,25aa75de-4244-4462-ab91-508f2ae7c82e,referral,David Hill,3/8/1999,UK,Passport,bb62ddfa,UK,10/6/2033,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,TRUE,85,0,11/14/2021,China,,,,,,
T8,C1,ca8541e3-c8a4-4bda-b5f0-3c519f145e13,POS,11/4/2024 12:16,758.4,GBP,5812,Gas,debit,3024.22,Visa,**** **** **** 1580,30-Jun,Wells Fargo,David Hill,444c67e1-c351-4bea-b220-2d72d2afab11,"Cross, Gilbert and Mccall","{'city': 'Kentland', 'state': 'IN', 'country': 'UK'}",T6538,NFC,POS,"{'latitude': Decimal('78.7159605'), 'longitude': Decimal('-121.640864')}",527037,PIN,,17,approved,,,5,,,,dc745a13-1e5e-43ae-b63e-d00835347c9a,direct,David Hill,3/8/1999,UK,Passport,bb62ddfa,UK,10/6/2033,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,TRUE,85,1,11/14/2023,China,,,,,,
T9,C1,284a2b1d-bfbc-4873-bf2f-ed662847f6fd,POS,10/31/2024 22:18,534.85,GBP,5812,Clothing,debit,3219.53,Visa,**** **** **** 1317,30-Mar,Wells Fargo,David Hill,eeb854d6-74d9-4ffc-adbc-dc8e9ed2114d,Smith-Carter,"{'city': 'Wendyville', 'state': 'IN', 'country': 'UK'}",T4935,swipe,POS,"{'latitude': Decimal('89.8707895'), 'longitude': Decimal('175.058192')}",121464,PIN,,11,approved,,,10,,,,6baef44d-38c1-49c7-9460-61778fbfd49f,email,David Hill,3/8/1999,UK,Passport,bb62ddfa,UK,10/6/2033,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,TRUE,85,0,11/14/2023,China,,,,,,
T10,C1,ca8541e3-c8a4-4bda-b5f0-3c519f145e13,POS,10/18/2024 15:39,553.55,GBP,5921,Clothing,debit,1855.75,Visa,**** **** **** 4871,Apr-31,Wells Fargo,David Hill,10877b4d-ce4b-4118-a420-5bbf2b65fa97,"Crawford, Allen and Myers","{'city': 'Jonesstad', 'state': 'DE', 'country': 'UK'}",T2876,swipe,POS,"{'latitude': Decimal('37.1715755'), 'longitude': Decimal('37.573824')}",220081,PIN,,19,approved,,,2,,,,2b2225b0-aae2-4c55-b1d1-f49b67811856,direct,David Hill,3/8/1999,UK,Passport,bb62ddfa,UK,10/6/2033,"380 Marissa Cliff Suite 970
Lake Kevinhaven, GU 87401",(343)847-0016x3137,williskayla@example.org,Student,,Gift,<20k,TRUE,85,2,11/14/2021,China,,,,,,
