transaction_id,customer_id,card_id,transaction_type,transaction_date_time,transaction_amount,currency,mcc,description,account_type,account_balance,card_type,card_number_masked,card_expiration_date,card_issuer,cardholder_name,merchant_id,merchant_name,merchant_location,merchant_terminal_id,payment_method,payment_channel,geolocation,authorization_code,authentication_method,3d_secure_status,fraud_risk_score,transaction_status,failure_reason,exchange_rate,rewards_earned,ip_address,device_id,user_agent,session_id,referral_source,kyc_full_name,kyc_date_of_birth,kyc_nationality,kyc_id_type,kyc_id_number,kyc_id_issuing_country,kyc_id_expiration_date,kyc_address,kyc_phone_number,kyc_email,kyc_occupation,kyc_employer_name,kyc_source_of_funds,kyc_annual_income_range,kyc_pep_status,kyc_aml_risk_score,sender_name,sender_account_number,sender_bank,sender_location,source
7a070370-f68d-4590-8dad-195c1d607b11,d744cdae-27ba-492f-a202-4faa071c6464,eb7bc888-7cd3-4e1f-b40c-b634b72805f8,POS,2024-11-03 21:54:20,971.53,GBP,5735,Gas,debit,2872.74,Visa,**** **** **** 5523,04/26,CitiBank,Remi CUCHILLO,537186c6-5c4e-4181-a046-3e90fd5dfcde,"Morris, Taylor and Simpson","{'city': 'Mccoyberg', 'state': 'DE', 'country': 'UK'}",T5797,chip,POS,"{'latitude': Decimal('-55.2826225'), 'longitude': Decimal('115.423621')}",678811,PIN,,6,approved,,,0.0,,,,d2a190f5-8d7e-42c2-87c8-e7b93db623dc,social media,Remi CUCHILLO,1998-12-19,UK,Passport,685e4381,UK,2033-01-05,"834 Joseph Hollow
West Michael, MO 94321",(785)960-9175,qsmith@example.com,Student,,Gift,<20k,True,85.0,,,,,
f78b5ae3-2c45-4da9-b04c-259b8a153cee,d744cdae-27ba-492f-a202-4faa071c6464,eb7bc888-7cd3-4e1f-b40c-b634b72805f8,POS,2024-11-07 08:56:21,977.57,GBP,5735,Clothing,debit,4064.16,Visa,**** **** **** 8828,07/34,CitiBank,Remi CUCHILLO,0f993592-6723-487b-8849-35d207888108,Scott Ltd,"{'city': 'Lake Tammytown', 'state': 'AL', 'country': 'UK'}",T8024,chip,POS,"{'latitude': Decimal('21.422956'), 'longitude': Decimal('-83.537648')}",698246,PIN,,19,approved,,,4.0,,,,bc1959c4-f8cc-46b5-bf3e-6765f0535fc9,referral,Remi CUCHILLO,1998-12-19,UK,Passport,685e4381,UK,2033-01-05,"834 Joseph Hollow
West Michael, MO 94321",(785)960-9175,qsmith@example.com,Student,,Gift,<20k,True,85.0,,,,,
76a26064-2bcd-4a1b-aa20-5ce6f0a4196d,d744cdae-27ba-492f-a202-4faa071c6464,dfb428c9-6697-4ad7-8ebf-3d4d15e8c77b,POS,2024-11-08 08:10:50,989.54,GBP,5411,Restaurant,debit,4554.78,Visa,**** **** **** 5246,01/33,Chase,Remi CUCHILLO,9476b59b-bb9b-41d3-a74c-4c6a846ffd17,Gordon Inc,"{'city': 'Gordonville', 'state': 'NE', 'country': 'UK'}",T5813,NFC,POS,"{'latitude': Decimal('33.198865'), 'longitude': Decimal('134.888778')}",741485,PIN,,9,approved,,,0.0,,,,0ef57b22-85a0-4d51-9923-4198c52695d5,social media,Remi CUCHILLO,1998-12-19,UK,Passport,685e4381,UK,2033-01-05,"834 Joseph Hollow
West Michael, MO 94321",(785)960-9175,qsmith@example.com,Student,,Gift,<20k,True,85.0,,,,,
93ddd2fb-0f61-41dd-9547-7b8362630c94,d744cdae-27ba-492f-a202-4faa071c6464,dfb428c9-6697-4ad7-8ebf-3d4d15e8c77b,POS,2024-10-24 03:01:44,854.61,GBP,5735,Electronics,debit,4803.46,Visa,**** **** **** 7063,12/24,Chase,Remi CUCHILLO,92407c6b-c312-4168-8726-2589c1ca733e,"Mills, Mckenzie and Larsen","{'city': 'Jessicafort', 'state': 'IL', 'country': 'UK'}",T1199,chip,POS,"{'latitude': Decimal('-10.395477'), 'longitude': Decimal('-21.049338')}",567358,PIN,,4,approved,,,3.0,,,,aa882b5a-b95f-4513-9f91-9fdbe7aadd89,referral,Remi CUCHILLO,1998-12-19,UK,Passport,685e4381,UK,2033-01-05,"834 Joseph Hollow
West Michael, MO 94321",(785)960-9175,qsmith@example.com,Student,,Gift,<20k,True,85.0,,,,,
848804fd-f763-472b-957d-373b7b295d84,d744cdae-27ba-492f-a202-4faa071c6464,dfb428c9-6697-4ad7-8ebf-3d4d15e8c77b,POS,2024-10-17 07:20:14,713.82,GBP,5812,Gas,debit,3599.95,Visa,**** **** **** 8328,09/30,Chase,Remi CUCHILLO,fd761f51-5586-4a28-9636-4ac9c9bc2deb,"Paul, Walker and Carpenter","{'city': 'Hilltown', 'state': 'WA', 'country': 'UK'}",T4851,swipe,POS,"{'latitude': Decimal('-9.6559835'), 'longitude': Decimal('-74.107712')}",513807,PIN,,6,approved,,,4.0,,,,93762d86-422f-42dc-8010-6c3a14cedf09,direct,Remi CUCHILLO,1998-12-19,UK,Passport,685e4381,UK,2033-01-05,"834 Joseph Hollow
West Michael, MO 94321",(785)960-9175,qsmith@example.com,Student,,Gift,<20k,True,85.0,,,,,
8bd75977-e1ba-45ca-a54f-ea44953b5c85,d744cdae-27ba-492f-a202-4faa071c6464,dfb428c9-6697-4ad7-8ebf-3d4d15e8c77b,POS,2024-11-05 09:44:22,556.99,GBP,5999,Clothing,debit,3881.07,Visa,**** **** **** 2525,06/30,Chase,Remi CUCHILLO,93d1992a-9f2c-4623-9bbf-974d73df754c,Burgess-Madden,"{'city': 'Masontown', 'state': 'HI', 'country': 'UK'}",T9412,swipe,POS,"{'latitude': Decimal('36.8871085'), 'longitude': Decimal('-36.866709')}",886404,PIN,,16,approved,,,5.0,,,,6334cb7d-261e-4f7b-91a6-3012688dbd04,social media,Remi CUCHILLO,1998-12-19,UK,Passport,685e4381,UK,2033-01-05,"834 Joseph Hollow
West Michael, MO 94321",(785)960-9175,qsmith@example.com,Student,,Gift,<20k,True,85.0,,,,,
3ee850be-b72a-446a-9445-6ab04e0e52e6,d744cdae-27ba-492f-a202-4faa071c6464,dfb428c9-6697-4ad7-8ebf-3d4d15e8c77b,POS,2024-10-19 08:45:19,742.78,GBP,5999,Clothing,debit,2535.11,Visa,**** **** **** 5444,10/29,Chase,Remi CUCHILLO,200b0571-adfc-4f23-a725-e76befedd124,Powers Inc,"{'city': 'Matthewburgh', 'state': 'VT', 'country': 'UK'}",T2384,swipe,POS,"{'latitude': Decimal('17.2499575'), 'longitude': Decimal('-43.223804')}",529851,PIN,,9,approved,,,10.0,,,,c0a6b52a-6abf-4a5e-b2ff-10fe58e2b618,direct,Remi CUCHILLO,1998-12-19,UK,Passport,685e4381,UK,2033-01-05,"834 Joseph Hollow
West Michael, MO 94321",(785)960-9175,qsmith@example.com,Student,,Gift,<20k,True,85.0,,,,,
7e4fd945-128c-4cb6-9956-0e4907214d94,d744cdae-27ba-492f-a202-4faa071c6464,dfb428c9-6697-4ad7-8ebf-3d4d15e8c77b,POS,2024-11-13 10:52:26,965.96,GBP,5411,Grocery,debit,1769.73,Visa,**** **** **** 8198,02/33,Chase,Remi CUCHILLO,f7bd2c12-f825-4670-b38b-ce6f3f73eb39,"Castaneda, Combs and Phillips","{'city': 'New David', 'state': 'WY', 'country': 'UK'}",T6455,chip,POS,"{'latitude': Decimal('54.5528245'), 'longitude': Decimal('-8.375660')}",471966,PIN,,19,approved,,,7.0,,,,82d97bca-a5f0-4704-bd1c-24999bf74a6a,referral,Remi CUCHILLO,1998-12-19,UK,Passport,685e4381,UK,2033-01-05,"834 Joseph Hollow
West Michael, MO 94321",(785)960-9175,qsmith@example.com,Student,,Gift,<20k,True,85.0,,,,,
628205b4-4b7a-4004-a9d7-37ad1969a120,d744cdae-27ba-492f-a202-4faa071c6464,dfb428c9-6697-4ad7-8ebf-3d4d15e8c77b,POS,2024-11-11 18:33:28,616.62,GBP,5921,Restaurant,debit,1531.77,Visa,**** **** **** 6027,08/32,Chase,Remi CUCHILLO,287262da-8b0a-4d61-8390-0405f78f004b,Robertson-Douglas,"{'city': 'Richardsonport', 'state': 'IL', 'country': 'UK'}",T6897,chip,POS,"{'latitude': Decimal('-79.4677635'), 'longitude': Decimal('-45.648801')}",846573,PIN,,8,approved,,,3.0,,,,c4d679a1-521a-4b29-93f8-4f009b83b579,referral,Remi CUCHILLO,1998-12-19,UK,Passport,685e4381,UK,2033-01-05,"834 Joseph Hollow
West Michael, MO 94321",(785)960-9175,qsmith@example.com,Student,,Gift,<20k,True,85.0,,,,,
c2cf386f-016a-45c1-bea1-a9d6f3a8223a,d744cdae-27ba-492f-a202-4faa071c6464,dfb428c9-6697-4ad7-8ebf-3d4d15e8c77b,POS,2024-11-05 14:21:27,321.53,GBP,5411,Gas,debit,4728.6,Visa,**** **** **** 1276,11/25,Chase,Remi CUCHILLO,97bac36a-730c-47b6-a13b-836f303b3134,Banks Group,"{'city': 'Lisatown', 'state': 'MP', 'country': 'UK'}",T4608,NFC,POS,"{'latitude': Decimal('-72.7295985'), 'longitude': Decimal('-136.538351')}",500950,PIN,,8,approved,,,7.0,,,,ac442b03-e5cb-4c71-84b3-0e8d00dec948,direct,Remi CUCHILLO,1998-12-19,UK,Passport,685e4381,UK,2033-01-05,"834 Joseph Hollow
West Michael, MO 94321",(785)960-9175,qsmith@example.com,Student,,Gift,<20k,True,85.0,,,,,
bfbf3e4c-8e4c-4363-8d46-558960604664,d744cdae-27ba-492f-a202-4faa071c6464,eb7bc888-7cd3-4e1f-b40c-b634b72805f8,POS,2024-11-04 23:23:39,750.33,GBP,5999,Grocery,debit,1527.48,Visa,**** **** **** 4744,03/33,CitiBank,Remi CUCHILLO,1ced3e45-531c-4045-bf7c-9a40de62d2e6,"Parker, Pennington and Patterson","{'city': 'North Danielle', 'state': 'NE', 'country': 'UK'}",T6448,swipe,POS,"{'latitude': Decimal('0.527830'), 'longitude': Decimal('-4.189142')}",413433,PIN,,13,approved,,,6.0,,,,7869634b-d49c-409b-882c-5323e86e20cb,social media,Remi CUCHILLO,1998-12-19,UK,Passport,685e4381,UK,2033-01-05,"834 Joseph Hollow
West Michael, MO 94321",(785)960-9175,qsmith@example.com,Student,,Gift,<20k,True,85.0,,,,,
77186a46-9204-4e65-99f6-4b62f6fc24a6,d744cdae-27ba-492f-a202-4faa071c6464,eb7bc888-7cd3-4e1f-b40c-b634b72805f8,POS,2024-11-03 08:12:26,639.03,GBP,5735,Restaurant,debit,4503.61,Visa,**** **** **** 3143,04/25,CitiBank,Remi CUCHILLO,85ec053d-b649-4be5-82aa-27e7a0c4ee8b,"Mays, Estrada and Johnson","{'city': 'Port Michael', 'state': 'WA', 'country': 'UK'}",T1423,chip,POS,"{'latitude': Decimal('-16.099615'), 'longitude': Decimal('-11.857227')}",823907,PIN,,13,approved,,,7.0,,,,e71e9cf6-a54e-48e5-a3a0-8acfad2f023d,email,Remi CUCHILLO,1998-12-19,UK,Passport,685e4381,UK,2033-01-05,"834 Joseph Hollow
West Michael, MO 94321",(785)960-9175,qsmith@example.com,Student,,Gift,<20k,True,85.0,,,,,
