transaction_id,customer_id,card_id,transaction_type,transaction_date_time,transaction_amount,currency,mcc,description,account_type,account_balance,card_type,card_number_masked,card_expiration_date,card_issuer,cardholder_name,merchant_id,merchant_name,merchant_location,merchant_terminal_id,payment_method,payment_channel,geolocation,authorization_code,authentication_method,3d_secure_status,fraud_risk_score,transaction_status,failure_reason,exchange_rate,rewards_earned,ip_address,device_id,user_agent,session_id,referral_source,companies_directed,kyc_address,kyc_aml_risk_score,kyc_annual_income_range,kyc_closed_false_positive_alerts,kyc_customer_since,kyc_date_of_birth,kyc_email,kyc_employer_name,kyc_frequent_connection_country,kyc_full_name,kyc_id_expiration_date,kyc_id_issuing_country,kyc_id_type,kyc_id_number,kyc_occupation,kyc_nationality,kyc_phone_number,kyc_pep_status,kyc_source_of_funds,sender_name,sender_account_number,sender_bank,sender_location,source
1b0ff0a8-ca01-41a4-8fc0-82e47e47518c,3276eae8-c181-4160-83bd-a7915b590d90,3412c341-9f2c-4e69-ab1d-2bd951e147b2,outbound,2024-10-24 18:58:39,176220.14,GBP,8999,Business Transfer,business,36160.92,MasterCard,**** **** **** 6954,05/28,HSBC,Dawn Thomas,f1c2711c-d651-402c-a32f-f7a6e45674c8,"Hall, Williams and Stephens","{'city': 'South Jack', 'state': 'NV', 'country': 'Australia'}",T3638,wire_transfer,online,"{'latitude': Decimal('41.2477125'), 'longitude': Decimal('45.326629')}",231712,password,,76,approved,,,0,141.13.224.74,1b14a9df-a5ac-4f84-abea-c8ea09314dc6,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/532.4.6 (KHTML, like Gecko) Version/5.0 Safari/532.4.6",35b76432-e4ee-486a-a70e-1325dc575ff3,business partner,"Macias, Richardson and Moore (Mexico), Price-Mays (Mexico), Green LLC (Singapore), Thompson, Matthews and White (Australia), Hall, Williams and Stephens (Australia)","956 Blake Cove Suite 920
New Curtis, SC 53216",51,>250k,25,2006-11-18,1966-11-26,dickersoncrystal@example.org,,Mexico,Dawn Thomas,2031-11-02,UK,Passport,dfcf2f36,Company Director,UK,4839891534,False,Salary,,,,,
75f60790-e0fe-40c6-86f6-0bb9c0b36f9d,3276eae8-c181-4160-83bd-a7915b590d90,3412c341-9f2c-4e69-ab1d-2bd951e147b2,outbound,2024-11-03 17:38:21,169655.74,GBP,4829,Business Transfer,business,46832.6,MasterCard,**** **** **** 7654,11/31,HSBC,Dawn Thomas,6391b803-5c16-4054-ab1a-052bee48352e,Price-Mays,"{'city': 'Danielleburgh', 'state': 'TN', 'country': 'Mexico'}",T2840,wire_transfer,online,"{'latitude': Decimal('-59.080355'), 'longitude': Decimal('176.962153')}",491433,password,,47,approved,,,0,103.165.172.94,94672588-6881-4e9b-a049-7d5f9038b6d6,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/4214-08-02 13:21:23 Firefox/3.8,6a1109a0-61c9-47d8-908b-b23f04f4035d,business partner,"Macias, Richardson and Moore (Mexico), Price-Mays (Mexico), Green LLC (Singapore), Thompson, Matthews and White (Australia), Hall, Williams and Stephens (Australia)","956 Blake Cove Suite 920
New Curtis, SC 53216",51,>250k,25,2006-11-18,1966-11-26,dickersoncrystal@example.org,,Mexico,Dawn Thomas,2031-11-02,UK,Passport,dfcf2f36,Company Director,UK,4839891534,False,Salary,,,,,
50e6b545-0e92-4584-bc1b-9fd184c860a5,3276eae8-c181-4160-83bd-a7915b590d90,68e9c2cb-6a9c-44e4-9cef-b2e0350fce44,outbound,2024-10-16 05:18:41,151968.83,GBP,6012,Business Transfer,business,26855.1,MasterCard,**** **** **** 4678,12/27,HSBC,Dawn Thomas,5db8d43e-2912-459c-8d16-3444a3da7c25,"Hall, Williams and Stephens","{'city': 'Port Jennifer', 'state': 'AR', 'country': 'Australia'}",T8892,wire_transfer,online,"{'latitude': Decimal('-86.477382'), 'longitude': Decimal('-132.558935')}",180394,password,,57,approved,,,0,151.252.73.117,ebff4643-4d71-4b81-ad06-a439439514e6,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/535.14.1 (KHTML, like Gecko) Version/5.0.3 Safari/535.14.1",b9b60135-a04f-42e4-a498-a370b0ec522a,direct,"Macias, Richardson and Moore (Mexico), Price-Mays (Mexico), Green LLC (Singapore), Thompson, Matthews and White (Australia), Hall, Williams and Stephens (Australia)","956 Blake Cove Suite 920
New Curtis, SC 53216",51,>250k,25,2006-11-18,1966-11-26,dickersoncrystal@example.org,,Mexico,Dawn Thomas,2031-11-02,UK,Passport,dfcf2f36,Company Director,UK,4839891534,False,Salary,,,,,
aa6dcdf9-4bee-43e3-a13b-e74f2f27d07d,3276eae8-c181-4160-83bd-a7915b590d90,68e9c2cb-6a9c-44e4-9cef-b2e0350fce44,outbound,2024-11-10 02:18:04,138425.4,GBP,4829,Business Transfer,business,8465.18,MasterCard,**** **** **** 3447,03/29,HSBC,Dawn Thomas,659768b6-0170-4bb6-a870-3ac9d3966c8b,Green LLC,"{'city': 'North Jeffreychester', 'state': 'MO', 'country': 'Singapore'}",T4436,wire_transfer,online,"{'latitude': Decimal('52.538602'), 'longitude': Decimal('41.020698')}",679520,password,,62,approved,,,0,29.64.133.70,5a240646-bada-493e-ac06-70c69ec4ffd6,Opera/8.49.(Windows NT 5.01; fa-IR) Presto/2.9.162 Version/10.00,68a03a77-73cf-4446-865e-e15374de9b90,direct,"Macias, Richardson and Moore (Mexico), Price-Mays (Mexico), Green LLC (Singapore), Thompson, Matthews and White (Australia), Hall, Williams and Stephens (Australia)","956 Blake Cove Suite 920
New Curtis, SC 53216",51,>250k,25,2006-11-18,1966-11-26,dickersoncrystal@example.org,,Mexico,Dawn Thomas,2031-11-02,UK,Passport,dfcf2f36,Company Director,UK,4839891534,False,Salary,,,,,
07d7a9c1-f0f7-4e6c-9702-3485de7caa63,3276eae8-c181-4160-83bd-a7915b590d90,68e9c2cb-6a9c-44e4-9cef-b2e0350fce44,outbound,2024-11-02 00:26:47,123409.0,GBP,8999,Business Transfer,business,13799.12,MasterCard,**** **** **** 3276,02/32,HSBC,Dawn Thomas,a21d1d0e-bf7c-417f-b056-f3d02466bde8,Green LLC,"{'city': 'New Javier', 'state': 'MT', 'country': 'Singapore'}",T8755,wire_transfer,online,"{'latitude': Decimal('4.1237905'), 'longitude': Decimal('122.794457')}",556591,password,,71,approved,,,0,157.57.62.195,9879e12a-3e9b-4f06-b4d2-ed36e5f74ca1,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/4.1),5f1a1fd7-ca73-4836-ba4c-130547e67bba,business partner,"Macias, Richardson and Moore (Mexico), Price-Mays (Mexico), Green LLC (Singapore), Thompson, Matthews and White (Australia), Hall, Williams and Stephens (Australia)","956 Blake Cove Suite 920
New Curtis, SC 53216",51,>250k,25,2006-11-18,1966-11-26,dickersoncrystal@example.org,,Mexico,Dawn Thomas,2031-11-02,UK,Passport,dfcf2f36,Company Director,UK,4839891534,False,Salary,,,,,
301a1fec-7fe2-4a15-a6cf-05ccf47c65ec,3276eae8-c181-4160-83bd-a7915b590d90,3412c341-9f2c-4e69-ab1d-2bd951e147b2,outbound,2024-10-31 19:38:24,111166.46,GBP,6012,Business Transfer,business,33891.41,MasterCard,**** **** **** 6002,01/30,HSBC,Dawn Thomas,f398ceb3-85d4-4b4f-9f89-be98bbd3aecb,Green LLC,"{'city': 'Michaelborough', 'state': 'AZ', 'country': 'Singapore'}",T5400,wire_transfer,online,"{'latitude': Decimal('-45.6655235'), 'longitude': Decimal('116.003901')}",119490,password,,68,approved,,,0,188.75.233.2,12d6487e-4b69-4132-a84b-6eb38d237653,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) CriOS/51.0.863.0 Mobile/98E923 Safari/534.1",f15ec6f4-c555-4384-be38-3ad4622748af,direct,"Macias, Richardson and Moore (Mexico), Price-Mays (Mexico), Green LLC (Singapore), Thompson, Matthews and White (Australia), Hall, Williams and Stephens (Australia)","956 Blake Cove Suite 920
New Curtis, SC 53216",51,>250k,25,2006-11-18,1966-11-26,dickersoncrystal@example.org,,Mexico,Dawn Thomas,2031-11-02,UK,Passport,dfcf2f36,Company Director,UK,4839891534,False,Salary,,,,,
46fd85f9-568b-4a27-b8aa-4a2c58f01739,3276eae8-c181-4160-83bd-a7915b590d90,68e9c2cb-6a9c-44e4-9cef-b2e0350fce44,outbound,2024-10-21 03:30:25,195848.09,GBP,4829,Business Transfer,business,18559.02,MasterCard,**** **** **** 7979,01/34,HSBC,Dawn Thomas,592824a8-7d02-4fdc-ac52-3e7d9864f30d,"Thompson, Matthews and White","{'city': 'Port Whitneymouth', 'state': 'UT', 'country': 'Australia'}",T9249,wire_transfer,online,"{'latitude': Decimal('-2.4685725'), 'longitude': Decimal('47.523522')}",215208,password,,80,approved,,,0,152.194.250.144,8d97362a-0852-4610-a91c-0ae9ae955034,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/44.0.850.0 Safari/533.0",6c8781ff-f7bc-46d0-b39b-2abdfced3897,direct,"Macias, Richardson and Moore (Mexico), Price-Mays (Mexico), Green LLC (Singapore), Thompson, Matthews and White (Australia), Hall, Williams and Stephens (Australia)","956 Blake Cove Suite 920
New Curtis, SC 53216",51,>250k,25,2006-11-18,1966-11-26,dickersoncrystal@example.org,,Mexico,Dawn Thomas,2031-11-02,UK,Passport,dfcf2f36,Company Director,UK,4839891534,False,Salary,,,,,
8595119d-75a2-4684-b15a-abd94916ebdd,3276eae8-c181-4160-83bd-a7915b590d90,68e9c2cb-6a9c-44e4-9cef-b2e0350fce44,outbound,2024-10-22 17:23:13,112522.39,GBP,8999,Business Transfer,business,29057.7,MasterCard,**** **** **** 9941,01/29,HSBC,Dawn Thomas,234a79e6-d163-4d31-99af-d8c4642015a5,"Macias, Richardson and Moore","{'city': 'Amandatown', 'state': 'VI', 'country': 'Mexico'}",T5917,wire_transfer,online,"{'latitude': Decimal('-30.369075'), 'longitude': Decimal('-165.802131')}",936337,password,,77,approved,,,0,77.3.31.79,de3b30db-c697-45ff-b7cc-ab0079b7cc9c,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/17.0.859.0 Safari/536.1",1759074d-1ae0-4b8a-8b2f-3281da7d65c4,direct,"Macias, Richardson and Moore (Mexico), Price-Mays (Mexico), Green LLC (Singapore), Thompson, Matthews and White (Australia), Hall, Williams and Stephens (Australia)","956 Blake Cove Suite 920
New Curtis, SC 53216",51,>250k,25,2006-11-18,1966-11-26,dickersoncrystal@example.org,,Mexico,Dawn Thomas,2031-11-02,UK,Passport,dfcf2f36,Company Director,UK,4839891534,False,Salary,,,,,
c960ec84-3d66-4858-a541-4a43ad01846a,3276eae8-c181-4160-83bd-a7915b590d90,3412c341-9f2c-4e69-ab1d-2bd951e147b2,outbound,2024-10-21 01:14:23,120407.31,GBP,6012,Business Transfer,business,17391.35,MasterCard,**** **** **** 5902,07/29,HSBC,Dawn Thomas,9f34e97b-97c7-4d60-97a3-fce91b64aa1c,"Thompson, Matthews and White","{'city': 'Millerton', 'state': 'WI', 'country': 'Australia'}",T7056,wire_transfer,online,"{'latitude': Decimal('-19.753701'), 'longitude': Decimal('-35.669469')}",235755,password,,58,approved,,,0,125.11.253.3,3097728c-3dd9-4b1e-b169-98c11228c571,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/531.43.7 (KHTML, like Gecko) Version/5.0.4 Safari/531.43.7",9969a178-a82f-44a4-a3cf-e4355b04e2d5,business partner,"Macias, Richardson and Moore (Mexico), Price-Mays (Mexico), Green LLC (Singapore), Thompson, Matthews and White (Australia), Hall, Williams and Stephens (Australia)","956 Blake Cove Suite 920
New Curtis, SC 53216",51,>250k,25,2006-11-18,1966-11-26,dickersoncrystal@example.org,,Mexico,Dawn Thomas,2031-11-02,UK,Passport,dfcf2f36,Company Director,UK,4839891534,False,Salary,,,,,
19306859-883e-4daf-8deb-cbc58dcf44fd,3276eae8-c181-4160-83bd-a7915b590d90,68e9c2cb-6a9c-44e4-9cef-b2e0350fce44,outbound,2024-11-01 01:03:51,128610.46,GBP,6012,Business Transfer,business,19257.38,MasterCard,**** **** **** 5785,08/30,HSBC,Dawn Thomas,c826aa45-3dba-42b7-9fae-5314c3369a90,"Macias, Richardson and Moore","{'city': 'Port Aaronside', 'state': 'RI', 'country': 'Mexico'}",T7061,wire_transfer,online,"{'latitude': Decimal('-65.9499105'), 'longitude': Decimal('163.527106')}",126184,password,,37,approved,,,0,124.243.235.94,9d31736c-b99b-49a6-823a-10675b85526f,Opera/8.29.(X11; Linux x86_64; gv-GB) Presto/2.9.190 Version/10.00,d1b7304b-0bc2-4378-bd7b-887163bc6748,business partner,"Macias, Richardson and Moore (Mexico), Price-Mays (Mexico), Green LLC (Singapore), Thompson, Matthews and White (Australia), Hall, Williams and Stephens (Australia)","956 Blake Cove Suite 920
New Curtis, SC 53216",51,>250k,25,2006-11-18,1966-11-26,dickersoncrystal@example.org,,Mexico,Dawn Thomas,2031-11-02,UK,Passport,dfcf2f36,Company Director,UK,4839891534,False,Salary,,,,,
